pais_id,pais,año,mes,ccp_origen,producto_origen,ccp_destino,producto_destino,uni_med_id,uni_med,cantidad_por_millon
32,Argentina,2009,3,2211,Leche cruda,22222,Dulce de leche,l,Litros,20.32
32,Argentina,2009,3,2211,Leche cruda,22222,Leche condensada,l,Litros,1.15
32,Argentina,2009,3,2211,Leche cruda,22230,Yogur ,l,Litros,37.76
32,Argentina,2009,3,2211,Leche cruda,22290,Postres lacteos y flanes,l,Litros,3.87
32,Argentina,2009,4,2211,Leche cruda,2211,Leche informal,l,Litros,65.12
32,Argentina,2009,4,2211,Leche cruda,22110,Leche pasteurizada entera,l,Litros,70.88
32,Argentina,2009,4,2211,Leche cruda,22110,Leche pasteurizada semidescremada,l,Litros,27.09
32,Argentina,2009,4,2211,Leche cruda,22110,Leche pasteurizada descremada,l,Litros,0.47
32,Argentina,2009,4,2211,Leche cruda,22110,Leche esterilizada entera,l,Litros,30.85
32,Argentina,2009,4,2211,Leche cruda,22110,Leche esterilizada semidescremada,l,Litros,15.86
32,Argentina,2009,4,2211,Leche cruda,22110,Leche esterilizada descremada,l,Litros,2.35
32,Argentina,2009,4,2211,Leche cruda,22110,Leche chocolatada,l,Litros,8.49
32,Argentina,2009,4,2211,Leche cruda,22211,Leche en polvo entera ,l,Litros,90.79
32,Argentina,2009,4,2211,Leche cruda,22212,Leche en polvo descremada,l,Litros,18.64
32,Argentina,2009,4,2211,Leche cruda,22251,Quesos de baja humedad (pasta dura),l,Litros,36.29
32,Argentina,2009,4,2211,Leche cruda,22251,Quesos de mediana humedad (pasta semidura),l,Litros,134.7
32,Argentina,2009,4,2211,Leche cruda,22251,Quesos de alta humedad (pasta blanda),l,Litros,140.27
32,Argentina,2009,4,2211,Leche cruda,22241,Manteca,l,Litros,46.59
32,Argentina,2009,4,2211,Leche cruda,22222,Dulce de leche,l,Litros,19.55
32,Argentina,2009,4,2211,Leche cruda,22222,Leche condensada,l,Litros,1.1
32,Argentina,2009,4,2211,Leche cruda,22230,Yogur ,l,Litros,33.54
32,Argentina,2009,4,2211,Leche cruda,22290,Postres lacteos y flanes,l,Litros,3.62
32,Argentina,2009,5,2211,Leche cruda,2211,Leche informal,l,Litros,68.07
32,Argentina,2009,5,2211,Leche cruda,22110,Leche pasteurizada entera,l,Litros,71.93
32,Argentina,2009,5,2211,Leche cruda,22110,Leche pasteurizada semidescremada,l,Litros,28.32
32,Argentina,2009,5,2211,Leche cruda,22110,Leche pasteurizada descremada,l,Litros,0.45
32,Argentina,2009,5,2211,Leche cruda,22110,Leche esterilizada entera,l,Litros,30.55
32,Argentina,2009,5,2211,Leche cruda,22110,Leche esterilizada semidescremada,l,Litros,18.09
